id_pelicula,titulo,popularidad,votos_promedio,clasificacion_chile,restriccion_horaria,promocion_permitida,fuente
1308553,है जवानी तो इश्क होना है,222.7483,5.474,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1311031,Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,100.4227,7.718,14+,Promoción restringida después de las 22:00,Permitida solo con contenido para mayores,TMDB + reglas Chile
1314481,El diablo viste de Prada 2,38.7512,6.569,TE,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
1316092,“Cumbres Borrascosas”,23.7819,6.7,14+,Promoción restringida después de las 22:00,Permitida solo con contenido para mayores,TMDB + reglas Chile
1316427,7 كلاب,23.9336,6.4,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1318447,Depredador dominante,71.4471,6.8,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1320660,पति पत्नी और वो दो,28.7254,6.2,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1325734,El drama,44.3519,7.0,14+,Promoción restringida después de las 22:00,Permitida solo con contenido para mayores,TMDB + reglas Chile
1327819,Hoppers,111.0302,8.184,TE,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
1330021,Criaturas luminosas,30.2013,8.6,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
13333,Juego con la muerte,20.5388,6.41,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1340110,Redux Redux,13.7671,6.704,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1358005,Turbulencia en la oficina,99.1606,6.557,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1363387,Insaciable,72.5998,6.212,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1364953,La herencia del mal,30.9124,6.9,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1367220,கருப்பு,348.2754,7.1,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
